144,747,15,738,182,647,350,642
195,746,341,730,554,612,403,632
370,730,541,712,711,596,567,612
564,710,728,690,871,572,726,596
751,688,914,660,1026,557,888,569
933,658,1085,642,1164,544,1034,558
1109,639,1253,622,1301,525,1170,543
1272,616,1402,603,1423,512,1308,527
1415,593,1536,576,1536,497,1435,509
1375,807,1536,791,1535,630,1407,645
1169,829,1344,808,1384,655,1238,673
963,840,1159,822,1221,676,1065,696
743,856,956,846,1041,702,864,715
523,856,711,856,810,735,640,745
327,861,504,857,608,761,441,777
34,862,287,863,430,779,202,783
